"Year","Header","Source","URL"
2017,"Изменения климата в России – чем они грозят здоровью населения?","meteoinfo.ru/meteo-med-revithc","http://meteoinfo.ru/meteo-med-revithc"
2017,"Прогноз изменений климата и геополитиеских последствий","www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda","http://www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda"
2017,"Изменение климата: что ждет Россию","ria.ru/warming_prognosis/20130924/964750728.html","http://ria.ru/warming_prognosis/20130924/964750728.html"
2017,"Изменение здоровья населения России в условиях меняющегося климата","www.demoscope.ru/weekly/2010/0439/analit01.php","http://www.demoscope.ru/weekly/2010/0439/analit01.php"
2017,"2017 год станет Годом экологии","www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/","http://www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/"
2017,"Стратегия","www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf","http://www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf"
2017,"ИЗМЕНЕНИЕ КЛИМАТА","global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf","http://global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf"
2017,"Изменение здоровья населения россии в условиях меняющегося климата","CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata","http://CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata"
2017,"Австралийский ученый предсказывает похолодание климата с 2017 года","newsmake.net/weather-and-nature/avstralijskij-uchenyj-predskazyvaet-poxolodanie-klimata-s-2017-goda","http://newsmake.net/weather-and-nature/avstralijskij-uchenyj-predskazyvaet-poxolodanie-klimata-s-2017-goda"
2017,"Мир вокруг россии: 2017","svop.ru/files/meetings/m014413373305013.pdf","http://svop.ru/files/meetings/m014413373305013.pdf"
2017,"Изменения климата в России – чем они грозят здоровью населения?","meteoinfo.ru/meteo-med-revithc","http://meteoinfo.ru/meteo-med-revithc"
2017,"Прогноз изменений климата и геополитиеских последствий","www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda","http://www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda"
2017,"Изменение здоровья населения России в условиях меняющегося климата","www.demoscope.ru/weekly/2010/0439/analit01.php","http://www.demoscope.ru/weekly/2010/0439/analit01.php"
2017,"Стратегия","www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf","http://www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf"
2017,"Изменение климата: что ждет Россию","ria.ru/warming_prognosis/20130924/964750728.html","http://ria.ru/warming_prognosis/20130924/964750728.html"
2017,"2017 год станет Годом экологии","www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/","http://www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/"
2017,"ИЗМЕНЕНИЕ КЛИМАТА","global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf","http://global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf"
2017,"влияния климатических изменений на сельское хозяйство России","https://publications.hse.ru/en/books/122967887","https://publications.hse.ru/en/books/122967887"
2017,"Изменение здоровья населения россии в условиях меняющегося климата","CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata","http://CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata"
2017,"Мир вокруг россии: 2017","svop.ru/files/meetings/m014413373305013.pdf","http://svop.ru/files/meetings/m014413373305013.pdf"
2017,"Прогноз изменений климата и геополитиеских последствий","www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda","http://www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda"
2017,"Изменения климата в России – чем они грозят здоровью населения?","meteoinfo.ru/meteo-med-revithc","http://meteoinfo.ru/meteo-med-revithc"
2017,"Стратегия","www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf","http://www.wwf.ru/data/wwf/wwfrussia_strategy_rus.pdf"
2017,"климата субъектов Российской Федерации на 2015 - 2017 годы»","docs.cntd.ru/document/467915789","http://docs.cntd.ru/document/467915789"
2017,"ИЗМЕНЕНИЕ КЛИМАТА","global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf","http://global-climate-change.ru/downl/byulletenyo/Izmenenie_klimata_N58_DecJan_2015_2016.pdf"
2017,"Климат России — Википедия","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BC%D0%B0%D1%82_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BC%D0%B0%D1%82_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2017,"2017 год станет Годом экологии","www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/","http://www.greenpeace.org/russia/ru/news/2015/06-01-16-year-of-ecology/"
2017,"Изменение здоровья населения России в условиях меняющегося климата","www.demoscope.ru/weekly/2010/0439/analit01.php","http://www.demoscope.ru/weekly/2010/0439/analit01.php"
2017,"Изменение климата: что ждет Россию","ria.ru/warming_prognosis/20130924/964750728.html","http://ria.ru/warming_prognosis/20130924/964750728.html"
2017,"Изменение здоровья населения россии в условиях меняющегося климата","CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata","http://CyberLeninka.ru/article/n/izmenenie-zdorovya-naseleniya-rossii-v-usloviyah-menyayuschegosya-klimata"
